Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,
Definition,0,file_id,serial_number,1,,time_created,1,,manufacturer,1,,product,1,,number,1,,unknown,1,,type,1,,
Data,0,file_id,serial_number,"3336813752",,time_created,"981504000",,manufacturer,"1",,garmin_product,"2158",,number,"47",,type,"32",,,,,
Definition,1,device_info,timestamp,1,,serial_number,1,,manufacturer,1,,product,1,,software_version,1,,,,,,,,
Data,1,device_info,timestamp,"981504000",s,serial_number,"3336813752",,manufacturer,"1",,garmin_product,"2158",,software_version,"9.8",,,,,,,,
Definition,2,software,version,1,,,,,,,,,,,,,,,,,,,,
Data,2,software,version,"3.0",,,,,,,,,,,,,,,,,,,,
Definition,3,monitoring_info,timestamp,1,,local_timestamp,1,,cycles_to_distance,2,,cycles_to_calories,2,,unknown,2,,resting_metabolic_rate,1,,activity_type,2,,unknown,1,,
Data,3,monitoring_info,timestamp,"981504000",s,local_timestamp,"981504000",s,cycles_to_distance,"1.7744|2.6616",m/cycle,cycles_to_calories,"0.061|0.1926",kcal/cycle,unknown,"4588|4588",,resting_metabolic_rate,"2379",kcal / day,activity_type,"6|1",,,,,
Definition,4,monitoring,timestamp,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,
Data,4,monitoring,timestamp,"981504000",s,unknown,"0",,unknown,"0",,,,,,,,,,,,,,,,,
Definition,5,monitoring,timestamp_16,1,,heart_rate,1,,,,,,,,,,,,,,,,,,,,
Data,5,monitoring,timestamp_16,"36984",s,heart_rate,"0",bpm,,,,,,,,,,,,,,,,,,,
Data,5,monitoring,timestamp_16,"37944",s,heart_rate,"0",bpm,,,,,,,,,,,,,,,,,,,
Data,5,monitoring,timestamp_16,"38904",s,heart_rate,"0",bpm,,,,,,,,,,,,,,,,,,,
Data,5,monitoring,timestamp_16,"39864",s,heart_rate,"0",bpm,,,,,,,,,,,,,,,,,,,
Data,5,monitoring,timestamp_16,"40824",s,heart_rate,"0",bpm,,,,,,,,,,,,,,,,,,,
Data,5,monitoring,timestamp_16,"41784",s,heart_rate,"0",bpm,,,,,,,,,,,,,,,,,,,
Data,5,monitoring,timestamp_16,"42744",s,heart_rate,"0",bpm,,,,,,,,,,,,,,,,,,,
Data,5,monitoring,timestamp_16,"43704",s,heart_rate,"0",bpm,,,,,,,,,,,,,,,,,,,
